root - ERROR - Missing name in clients.csv row: {'client_number': '1011', 'first_name': '', 'last_name': 'Jeffries', 'email_address': 'jeffries@pixell.com'}


root - ERROR - Error parsing account row {'account_number': '20002', 'client_number': '1001', 'balance': '301.54', 'date_created': '2023-01-15', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '50', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '22222', 'client_number': '1001', 'balance': '434.33', 'date_created': '2023-05-05', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '100', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20004', 'client_number': '1002', 'balance': '4500.87', 'date_created': '2023-02-05', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '5'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20005', 'client_number': '1003', 'balance': '3456.65', 'date_created': '2023-03-12', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '150', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20007', 'client_number': '1004', 'balance': '22000', 'date_created': '2023-04-15', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '5'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20008', 'client_number': '1004', 'balance': '7699.9', 'date_created': '2023-04-18', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '50', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20010', 'client_number': '1005', 'balance': '32000', 'date_created': '2023-05-15', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '3.65'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20011', 'client_number': '1006', 'balance': '11665.8', 'date_created': '2023-06-01', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '100', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20013', 'client_number': '1007', 'balance': '17000', 'date_created': '2023-07-12', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '2'}: name 'interest_rate' is not defined


